canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
O=P1(N(CCCl)CCCl)NCCCO1,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,4,Small molecule,1959
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CHEMBL498,CHLORPROPAMIDE,4,Small molecule,1958
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CHEMBL499,TIMOLOL,4,Small molecule,1978
CC(C)NCC(O)COc1cccc2[nH]ccc12,CHEMBL500,PINDOLOL,4,Small molecule,1982
NNc1nncc2ccccc12,CHEMBL276832,HYDRALAZINE,4,Small molecule,1953
CC(N)Cc1ccccc1.O=S(=O)(O)O,CHEMBL501,AMPHETAMINE SULFATE,4,Small molecule,1960
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,CHEMBL267345,AMPHOTERICIN B,4,Small molecule,1964
NCCc1c[nH]cn1,CHEMBL90,HISTAMINE,4,Small molecule,1939
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,CHEMBL91,MICONAZOLE,4,Small molecule,1974
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,CHEMBL92,DOCETAXEL ANHYDROUS,4,Small molecule,1995
CC(c1cc2ccccc2s1)N(O)C(N)=O,CHEMBL93,ZILEUTON,4,Small molecule,1996
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,PHYSOSTIGMINE,4,Small molecule,
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,TACRINE,4,Small molecule,1993
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,DONEPEZIL,4,Small molecule,1996
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CHEMBL503,LOVASTATIN,4,Small molecule,1987
O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,CHEMBL11662,OZAGREL,4,Small molecule,1988
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CHEMBL12610,BENZYDAMINE,4,Small molecule,
CC(=O)Nc1ccccc1,CHEMBL269644,ACETANILIDE,4,Small molecule,
C[S+](C)[O-],CHEMBL504,DIMETHYL SULFOXIDE,4,Small molecule,1978
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CHEMBL505,CHLORPHENIRAMINE,4,Small molecule,1950
COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,PRIMAQUINE,4,Small molecule,1952
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,CHEMBL509,MECLOFENAMIC ACID,4,Small molecule,1980
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,CHEMBL511,PYRILAMINE,4,Small molecule,1973
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12713,SERTINDOLE,4,Small molecule,1996
O=NN(CCCl)C(=O)NCCCl,CHEMBL513,CARMUSTINE,4,Small molecule,1977
O=NN(CCCl)C(=O)NC1CCCCC1,CHEMBL514,LOMUSTINE,4,Small molecule,1976
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,CHEMBL515,CHLORAMBUCIL,4,Small molecule,1957
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,CHEMBL516,CYPROHEPTADINE,4,Small molecule,1961
Nc1cc(-c2ccncc2)c[nH]c1=O,CHEMBL12856,INAMRINONE,4,Small molecule,1984
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,CHEMBL517,DISOPYRAMIDE,4,Small molecule,1977
O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL98,VORINOSTAT,4,Small molecule,2006
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CHEMBL521,IBUPROFEN,4,Small molecule,1974
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,CHEMBL13376,CLOMETACIN,4,Small molecule,
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,CHEMBL13280,FLUNITRAZEPAM,4,Small molecule,
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,CHEMBL13209,NITRAZEPAM,4,Small molecule,
COc1ccc(OC)c(C(O)C(C)N)c1,CHEMBL524,METHOXAMINE,4,Small molecule,1982
CC(C)c1cccc(C(C)C)c1O,CHEMBL526,PROPOFOL,4,Small molecule,1989
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CHEMBL527,PIROXICAM,4,Small molecule,1982
CO/N=C(\\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,CHEMBL528,CEFTIZOXIME,4,Small molecule,1983
